https://www.espn.com/fantasy/football/story/_/id/36135778/fantasy-football-ppr-rankings-2023-quarterback-running-back-wide-receiver-tight-end-top-200
139. Ezekiel Elliott, RB, Patriots, RB50
140. Derek Carr, QB, Saints, QB20
141. Mike Gesicki, TE, Patriots, TE18
142. Allen Lazard, WR, Jets, WR53
143. De'Von Achane, RB, Dolphins, RB51
144. Juwan Johnson, TE, Saints, TE19
145. Evan McPherson, K, Bengals, K2
146. Irv Smith Jr., TE, Bengals, TE20
147. Zay Flowers, WR, Ravens, WR54
148. Trey McBride, TE, Cardinals, TE21
149. San Francisco 49ers, DST, 49ers, DST1
150. DJ Chark Jr., WR, Panthers, WR55
151. Hayden Hurst, TE, Panthers, TE22
152. Zach Ertz, TE, Cardinals, TE23
153. Skyy Moore, WR, Chiefs, WR56
154. Buffalo Bills, DST, Bills, DST2
155. Jerome Ford, RB, Browns, RB52
156. Michael Gallup, WR, Cowboys, WR57
157. Daniel Carlson, K, Raiders, K3
158. Jameson Williams, WR, Lions, WR58
159. Dallas Cowboys, DST, Cowboys, DST3
160. Chuba Hubbard, RB, Panthers, RB53
161. Tyler Bass, K, Bills, K4
162. Philadelphia Eagles, DST, Eagles, DST4
163. Tyler Boyd, WR, Bengals, WR59
164. Zay Jones, WR, Jaguars, WR60
165. Kyler Murray, QB, Cardinals, QB21
166. Tank Bigsby, RB, Jaguars, RB54
167. Harrison Butker, K, Chiefs, K5
168. Kenny Pickett, QB, Steelers, QB22
169. Odell Beckham Jr., WR, Ravens, WR61
170. Jordan Love, QB, Packers, QB23
171. Baltimore Ravens, DST, Ravens, DST5
172. Kenneth Gainwell, RB, Eagles, RB55
173. Jason Sanders, K, Dolphins, K6
174. Adam Thielen, WR, Panthers, WR62
175. Jake Elliott, K, Eagles, K7
176. Dawson Knox, TE, Bills, TE24
177. New Orleans Saints, DST, Saints, DST6
178. Cordarrelle Patterson, RB, Falcons, RB56
179. Marquez Valdes-Scantling, WR, Chiefs, WR63
180. Noah Fant, TE, Seahawks, TE25
181. Jelani Woods, TE, Colts, TE26
182. Gus Edwards, RB, Ravens, RB57
183. Cincinnati Bengals, DST, Bengals, DST7
184. K.J. Osborn, WR, Vikings, WR64
185. Bryce Young, QB, Panthers, QB24
186. Michael Carter, RB, Jets, RB58
187. Younghoe Koo, K, Falcons, K8
188. Denver Broncos, DST, Broncos, DST8
189. Hunter Renfrow, WR, Raiders, WR65
190. Graham Gano, K, Giants, K9
191. Joshua Kelley, RB, Chargers, RB59
192. C.J. Stroud, QB, Texans, QB25
193. New York Jets, DST, Jets, DST9
194. Jason Myers, K, Seahawks, K10
195. Curtis Samuel, WR, Commanders, WR66
196. Jimmy Garoppolo, QB, Raiders, QB26
197. Clyde Edwards-Helaire, RB, Chiefs, RB60
198. Robert Woods, WR, Texans, WR67
199. Miami Dolphins, DST, Dolphins, DST10
200. Kyren Williams, RB, Rams, RB61
