Rank,Name,Pos,Team,Cost
147,Zay Flowers,WR,Dumb,-1
148,Trey McBride,TE,Dumb,-1
149,San Francisco 49ers,DST,Dumb,-1
150,DJ Chark Jr.,WR,Dumb,-1
151,Hayden Hurst,TE,Dumb,-1
152,Zach Ertz,TE,Dumb,-1
153,Skyy Moore,WR,Dumb,-1
154,Buffalo Bills,DST,Dumb,-1
155,Jerome Ford,RB,Dumb,-1
156,Michael Gallup,WR,Dumb,-1
157,Daniel Carlson,K,Dumb,-1
158,Jameson Williams,WR,Dumb,-1
159,Dallas Cowboys,DST,Dumb,-1
160,Chuba Hubbard,RB,Dumb,-1
161,Tyler Bass,K,Dumb,-1
162,Philadelphia Eagles,DST,Dumb,-1
163,Tyler Boyd,WR,Dumb,-1
164,Zay Jones,WR,Dumb,-1
165,Kyler Murray,QB,Dumb,-1
166,Tank Bigsby,RB,Dumb,-1
167,Harrison Butker,K,Dumb,-1
168,Kenny Pickett,QB,Dumb,-1
169,Odell Beckham Jr.,WR,Dumb,-1
170,Jordan Love,QB,Dumb,-1
171,Baltimore Ravens,DST,Dumb,-1
172,Kenneth Gainwell,RB,Dumb,-1
173,Jason Sanders,K,Dumb,-1
174,Adam Thielen,WR,Dumb,-1
175,Jake Elliott,K,Dumb,-1
176,Dawson Knox,TE,Dumb,-1
177,New Orleans Saints,DST,Dumb,-1
178,Cordarrelle Patterson,RB,Dumb,-1
179,Marquez Valdes-Scantling,WR,Dumb,-1
180,Noah Fant,TE,Dumb,-1
181,Jelani Woods,TE,Dumb,-1
182,Gus Edwards,RB,Dumb,-1
183,Cincinnati Bengals,DST,Dumb,-1
184,K.J. Osborn,WR,Dumb,-1
185,Bryce Young,QB,Dumb,-1
186,Michael Carter,RB,Dumb,-1
187,Younghoe Koo,K,Dumb,-1
188,Denver Broncos,DST,Dumb,-1
189,Hunter Renfrow,WR,Dumb,-1
190,Graham Gano,K,Dumb,-1
191,Joshua Kelley,RB,Dumb,-1
192,C.J. Stroud,QB,Dumb,-1
193,New York Jets,DST,Dumb,-1
194,Jason Myers,K,Dumb,-1
195,Curtis Samuel,WR,Dumb,-1
196,Jimmy Garoppolo,QB,Dumb,-1
197,Clyde Edwards-Helaire,RB,Dumb,-1
198,Robert Woods,WR,Dumb,-1
199,Miami Dolphins,DST,Dumb,-1
200,Kyren Williams,RB,Dumb,-1
