Rank,Name,Pos,Team,Cost
164,Kareem Hunt,RB,FA,-1
165,Chase Brown,RB,CIN,-1
166,Robert Woods,WR,HOU,-1
167,Adam Thielen,WR,CAR,-1
168,Ty Chandler,RB,MIN,-1
169,Russell Wilson,QB,DEN,-1
170,Jared Goff,QB,DET,-1
172,Chigoziem Okonkwo,TE,TEN,-1
173,DeVante Parker,WR,NE,-1
174,Zach Evans,RB,LAR,-1
175,Evan Hull,RB,IND,-1
176,Trayveon Williams,RB,CIN,-1
177,Rico Dowdle,RB,DAL,-1
178,Jordan Mason,RB,SF,-1
179,Malik Davis,RB,DAL,-1
180,Tyrion Davis-Price,RB,SF,-1
181,Cordarrelle Patterson,RB,ATL,-1
182,Clyde Edwards-Helaire,RB,KC,-1
183,Corey Davis,WR,NYJ,-1
184,K.J. Osborn,WR,MIN,-1
185,Alec Pierce,WR,IND,-1
186,Curtis Samuel,WR,WAS,-1
187,Isaiah Hodgins,WR,NYG,-1
188,John Metchie III,WR,HOU,-1
189,Matthew Stafford,QB,LAR,-1
190,Ryan Tannehill,QB,TEN,-1
191,Cole Kmet,TE,CHI,-1
192,Gerald Everett,TE,LAC,-1
193,Tyler Conklin,TE,NYJ,-1
194,Bryce Young,QB,CAR,-1
195,Irv Smith Jr.,TE,CIN,-1
196,Pierre Strong Jr.,RB,NE,-1
197,Derek Carr,QB,NO,-1
198,Kenny Pickett,QB,PIT,-1
199,Jordan Love,QB,GB,-1
200,Sam Howell,QB,WAS,-1
201,Juwan Johnson,TE,NO,-1
202,Hayden Hurst,TE,CAR,-1
203,Rashid Shaheed,WR,NO,-1
204,Donovan Peoples-Jones,WR,CLE,-1
205,Marquez Valdes-Scantling,WR,KC,-1
206,Mecole Hardman Jr.,WR,NYJ,-1
207,Josh Reynolds,WR,DET,-1
208,C.J. Stroud,QB,HOU,-1
210,Chase Edmonds,RB,TB,-1
211,Mack Hollins,WR,ATL,-1
212,Jelani Woods,TE,IND,-1
213,Jake Ferguson,TE,DAL,-1
214,Hunter Henry,TE,NE,-1
215,Jalin Hyatt,WR,NYG,-1
216,Matt Breida,RB,NYG,-1
217,Israel Abanikanda,RB,NYJ,-1
218,Deneric Prince,RB,KC,-1
219,Kyren Williams,RB,LAR,-1
220,Josh Downs,WR,IND,-1
221,Khalil Shakir,WR,BUF,-1
222,Chase Claypool,WR,CHI,-1
223,Michael Wilson,WR,ARI,-1
224,Joshua Palmer,WR,LAC,-1
225,Tank Dell,WR,HOU,-1
226,Tyler Scott,WR,CHI,-1
227,Puka Nacua,WR,LAR,-1
228,Latavius Murray,RB,BUF,-1
229,Michael Mayer,TE,LV,-1
230,Luke Musgrave,TE,GB,-1
231,Trey McBride,TE,ARI,-1
232,Noah Fant,TE,SEA,-1
233,Cade Otton,TE,TB,-1
234,Dawson Knox,TE,BUF,-1
236,Justyn Ross,WR,KC,-1
237,Zonovan Knight,RB,NYJ,-1
238,Craig Reynolds,RB,DET,-1
240,Eric Gray,RB,NYG,-1
241,DeWayne McBride,RB,MIN,-1
242,Ke'Shawn Vaughn,RB,TB,-1
243,Isaiah Spiller,RB,LAC,-1
246,Kenyan Drake,RB,IND,-1
247,Hunter Renfrow,WR,LV,-1
248,Allen Robinson II,WR,PIT,-1
249,Greg Dortch,WR,ARI,-1
250,Sean Tucker,RB,TB,-1
